contact,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contacts,financial,campaigns,demographic
cellular,297.0,-1.8,93.075,-47.1,1.405,5099.1,1003.0,0,1,27
cellular,256.0,-1.8,92.893,-46.2,1.281,5099.1,1002.0,2,1,33
cellular,326.0,-2.9,92.201,-31.4,0.869,5076.2,1002.0,2,1,61
cellular,103.0,1.4,93.918,-42.7,4.963,5228.1,1005.0,0,1,37
telephone,138.0,-1.8,92.893,-46.2,1.327,5099.1,1003.0,2,1,53
cellular,273.0,-1.7,94.027,-38.3,0.904,4991.6,1002.0,3,1,78
cellular,309.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,2,1,38
cellular,644.5,-1.8,92.893,-46.2,1.25,5099.1,1002.0,1,1,34
telephone,644.5,1.1,93.994,-36.4,4.86,5191.0,1001.0,3,1,54
cellular,644.5,-1.1,94.601,-49.5,1.037,4963.6,1001.0,0,1,34
telephone,82.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,3,1,55
telephone,80.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,1,1,59
telephone,16.0,-1.8,93.876,-40.0,0.672,5008.7,1000.0,2,1,53
cellular,87.0,1.4,93.918,-42.7,4.958,5228.1,1000.0,3,1,32
telephone,181.0,1.1,93.994,-36.4,4.856,5191.0,1002.0,1,1,49
telephone,108.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,3,1,57
telephone,123.0,1.4,94.465,-41.8,4.865,5228.1,1003.0,2,1,56
cellular,110.0,1.4,93.444,-36.1,4.97,5228.1,1001.0,1,1,48
cellular,75.0,1.4,93.918,-42.7,4.968,5228.1,1000.0,1,1,51
cellular,136.0,-3.4,92.649,-30.1,0.714,5017.5,1001.0,2,1,42
cellular,256.0,-3.0,92.713,-33.0,0.706,5023.5,1000.0,2,1,46
telephone,140.0,1.4,94.465,-41.8,4.864,5228.1,1005.0,0,1,52
cellular,475.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,2,1,52
telephone,38.0,1.1,93.994,-36.4,4.858,5191.0,1005.0,2,1,64
cellular,322.0,-0.1,93.2,-42.0,4.076,5195.8,1003.0,0,1,35
cellular,254.0,-3.0,92.713,-33.0,0.718,5023.5,1001.0,0,1,59
cellular,595.0,-2.9,92.963,-40.8,1.26,5076.2,1003.0,0,1,40
cellular,199.0,-1.8,92.893,-46.2,1.259,5099.1,1001.0,0,1,43
cellular,105.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,0,1,35
telephone,176.0,-2.9,92.201,-31.4,0.869,5076.2,1001.0,2,1,69
cellular,593.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,44
telephone,97.0,1.1,93.994,-36.4,4.856,5191.0,1001.0,2,1,45
cellular,142.0,-1.8,92.893,-46.2,1.334,5099.1,1001.0,2,1,64
telephone,140.0,1.4,94.465,-41.8,4.865,5228.1,1002.0,2,1,54
cellular,209.0,-3.4,92.649,-30.1,0.715,5017.5,1002.0,2,2,46
cellular,194.0,-2.9,92.469,-33.6,1.029,5076.2,997.0,0,3,52
cellular,198.0,-1.7,94.215,-40.3,0.846,4991.6,1001.0,2,1,42
cellular,108.0,-0.1,93.2,-42.0,4.12,5195.8,1000.0,3,1,51
telephone,504.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,3,1,51
telephone,644.5,-1.8,93.369,-34.8,0.652,5008.7,1000.0,2,1,86
telephone,644.5,1.4,94.465,-41.8,4.962,5228.1,1000.0,2,1,46
cellular,644.5,-1.8,92.893,-46.2,1.313,5099.1,1001.0,0,1,44
cellular,43.0,1.4,93.918,-42.7,4.96,5228.1,1001.0,2,1,42
cellular,92.0,1.4,93.918,-42.7,4.961,5228.1,1002.0,2,1,61
cellular,146.0,-1.8,92.893,-46.2,1.25,5099.1,1000.0,2,1,51
cellular,644.5,1.4,93.918,-42.7,4.962,5228.1,1001.0,0,1,34
telephone,644.5,1.1,93.994,-36.4,4.856,5191.0,1000.0,2,1,52
cellular,549.0,1.4,93.918,-42.7,4.96,5228.1,1001.0,0,1,36
telephone,60.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,2,1,56
cellular,644.5,1.4,93.444,-36.1,4.968,5228.1,1001.0,4,1,39
telephone,65.0,-1.8,92.893,-46.2,1.25,5099.1,1004.0,2,1,44
cellular,87.0,-1.8,92.893,-46.2,1.327,5099.1,997.0,2,3,48
cellular,133.0,-2.9,92.963,-40.8,1.268,5076.2,1000.0,2,1,51
cellular,78.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,2,1,58
cellular,644.5,-1.8,92.893,-46.2,1.327,5099.1,1000.0,2,1,34
cellular,644.5,-1.8,92.893,-46.2,1.25,5099.1,1002.0,2,1,52
cellular,206.0,1.4,93.918,-42.7,4.961,5228.1,1001.0,0,1,42
telephone,66.0,1.1,93.994,-36.4,4.86,5191.0,1005.0,2,1,44
telephone,122.0,1.1,93.994,-36.4,4.859,5191.0,1000.0,2,1,57
cellular,33.0,-1.8,92.893,-46.2,1.266,5099.1,1002.0,3,1,50
cellular,79.0,1.4,93.444,-36.1,4.97,5228.1,1000.0,0,1,67
cellular,152.0,-1.8,92.843,-50.0,1.556,5099.1,1005.0,2,1,34
telephone,189.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,1,1,39
cellular,203.0,-1.7,94.027,-38.3,0.904,4991.6,997.0,2,5,44
cellular,209.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,0,1,64
cellular,175.0,-1.8,93.749,-34.6,0.642,5008.7,997.0,1,3,89
telephone,29.0,1.1,93.994,-36.4,4.858,5191.0,1000.0,0,1,44
telephone,129.0,1.1,93.994,-36.4,4.864,5191.0,1002.0,0,1,50
cellular,254.0,-1.8,93.369,-34.8,0.639,5008.7,1001.0,2,1,72
cellular,324.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,0,1,55
cellular,644.5,1.4,93.918,-42.7,4.961,5228.1,1000.0,3,1,59
cellular,157.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,1,1,52
cellular,83.0,1.4,93.918,-42.7,4.961,5228.1,1000.0,5,1,60
cellular,599.0,-1.8,93.075,-47.1,1.466,5099.1,1000.0,2,1,36
cellular,39.0,-1.8,92.893,-46.2,1.344,5099.1,1000.0,2,1,47
cellular,17.0,-0.1,93.2,-42.0,4.12,5195.8,1005.0,2,1,43
cellular,387.0,-1.1,94.199,-37.5,0.882,4963.6,997.0,2,5,36
cellular,551.0,-2.9,92.201,-31.4,0.861,5076.2,1001.0,2,1,49
cellular,173.0,-0.1,93.2,-42.0,4.076,5195.8,1000.0,2,1,43
cellular,183.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,1,1,41
cellular,144.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,4,1,32
cellular,452.0,-1.7,94.215,-40.3,0.827,4991.6,997.0,0,3,29
cellular,411.0,-1.7,94.027,-38.3,0.899,4991.6,1000.0,0,1,87
telephone,67.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,2,1,44
cellular,516.0,1.4,93.918,-42.7,4.957,5228.1,1000.0,2,1,38
telephone,18.0,1.4,94.465,-41.8,4.962,5228.1,1005.0,3,1,65
cellular,124.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,2,1,43
telephone,159.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,2,1,37
cellular,210.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,2,1,45
cellular,63.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,4,1,53
telephone,367.0,1.4,94.465,-41.8,4.864,5228.1,1001.0,4,1,61
cellular,72.0,-2.9,92.469,-33.6,0.908,5076.2,1002.0,2,1,61
cellular,187.0,1.4,93.918,-42.7,4.96,5228.1,1002.0,0,1,45
cellular,150.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,2,1,47
cellular,259.0,-1.8,93.075,-47.1,1.365,5099.1,1000.0,4,1,65
cellular,85.0,-1.8,92.893,-46.2,1.313,5099.1,1002.0,3,2,48
cellular,136.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,46
telephone,143.0,1.4,94.465,-41.8,4.967,5228.1,1001.0,2,1,53
cellular,224.0,-2.9,92.201,-31.4,0.869,5076.2,1002.0,0,1,51
cellular,248.0,-1.8,93.876,-40.0,0.682,5008.7,997.0,2,6,55
cellular,500.0,1.4,93.918,-42.7,4.96,5228.1,1000.0,1,1,51
cellular,620.0,-1.8,93.075,-47.1,1.365,5099.1,1000.0,2,1,51
telephone,224.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,2,1,62
cellular,418.0,1.4,93.444,-36.1,4.965,5228.1,1003.0,5,1,58
cellular,82.0,1.4,93.444,-36.1,4.962,5228.1,1001.0,0,1,53
cellular,410.0,-0.1,93.2,-42.0,4.076,5195.8,1000.0,0,1,45
telephone,33.0,1.1,93.994,-36.4,4.857,5191.0,1003.0,3,1,48
telephone,19.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,55
cellular,333.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,2,1,48
cellular,134.0,1.4,93.918,-42.7,4.963,5228.1,1001.0,0,1,50
cellular,234.0,1.4,93.444,-36.1,4.966,5228.1,1000.0,2,1,51
cellular,93.0,1.4,93.918,-42.7,4.957,5228.1,1002.0,0,1,47
cellular,295.0,1.4,93.918,-42.7,4.962,5228.1,1002.0,2,1,38
telephone,62.0,1.4,94.465,-41.8,4.959,5228.1,1002.0,3,1,65
telephone,88.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,2,1,54
cellular,149.0,1.4,93.918,-42.7,4.962,5228.1,1005.0,2,1,50
cellular,367.0,-2.9,92.469,-33.6,1.072,5076.2,1000.0,0,1,60
cellular,89.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,2,1,56
cellular,239.0,-1.8,93.075,-47.1,1.405,5099.1,1001.0,2,1,51
cellular,200.0,-1.8,92.893,-46.2,1.25,5099.1,1004.0,0,1,48
cellular,92.0,1.4,93.918,-42.7,4.963,5228.1,1002.0,3,1,58
cellular,208.0,-1.8,92.893,-46.2,1.334,5099.1,1001.0,0,1,44
cellular,168.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,0,1,55
cellular,173.0,-1.8,93.075,-47.1,1.405,5099.1,1003.0,0,1,60
cellular,644.5,-1.8,92.893,-46.2,1.344,5099.1,1002.0,0,1,59
cellular,99.0,1.4,93.918,-42.7,4.962,5228.1,1005.0,2,1,62
cellular,644.5,-1.8,92.893,-46.2,1.281,5099.1,1000.0,0,1,39
cellular,75.0,-2.9,92.201,-31.4,0.834,5076.2,1001.0,2,1,35
cellular,95.0,-1.8,92.893,-46.2,1.27,5099.1,1002.0,2,1,49
cellular,77.0,-1.8,92.893,-46.2,1.281,5099.1,1003.0,2,1,45
cellular,644.5,-2.9,92.469,-33.6,1.044,5076.2,1001.0,0,1,57
cellular,243.0,-1.8,92.893,-46.2,1.266,5099.1,1000.0,0,1,38
cellular,18.0,1.4,93.918,-42.7,4.968,5228.1,1005.0,0,1,29
telephone,299.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,1,1,37
cellular,644.5,1.4,93.918,-42.7,4.961,5228.1,1002.0,1,1,61
telephone,135.0,1.4,94.465,-41.8,4.961,5228.1,1002.0,0,1,52
telephone,644.5,-1.1,94.199,-37.5,0.879,4963.6,997.0,1,2,61
telephone,80.0,1.4,94.465,-41.8,4.967,5228.1,1002.0,0,1,69
cellular,104.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,0,1,70
cellular,122.0,-1.8,92.893,-46.2,1.281,5099.1,1002.0,2,1,41
cellular,387.0,1.4,93.918,-42.7,4.961,5228.1,1003.0,2,1,34
telephone,99.0,1.4,94.465,-41.8,4.961,5228.1,1005.0,3,1,55
cellular,57.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,2,1,40
cellular,483.0,-1.8,92.893,-46.2,1.291,5099.1,1001.0,2,1,39
telephone,25.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,4,1,47
telephone,93.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,0,1,34
cellular,144.0,-1.8,92.893,-46.2,1.299,5099.1,1002.0,3,1,48
cellular,644.5,1.4,93.918,-42.7,4.961,5228.1,1001.0,2,1,35
cellular,65.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,2,1,62
telephone,68.0,1.4,94.465,-41.8,4.864,5228.1,1001.0,0,1,53
cellular,644.5,1.4,93.444,-36.1,4.968,5228.1,1000.0,2,1,53
cellular,335.0,1.4,93.444,-36.1,4.966,5228.1,1002.0,0,1,48
telephone,132.0,1.4,94.465,-41.8,4.864,5228.1,1001.0,1,1,43
cellular,171.0,-3.4,92.379,-29.8,0.803,5017.5,1002.0,0,1,51
cellular,62.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,45
cellular,339.0,1.4,93.918,-42.7,4.96,5228.1,1000.0,1,1,48
telephone,644.5,-1.7,94.055,-39.8,0.715,4991.6,997.0,2,3,60
telephone,152.0,1.1,93.994,-36.4,4.86,5191.0,1001.0,0,1,53
cellular,64.0,-1.8,92.893,-46.2,1.344,5099.1,1000.0,0,1,44
telephone,159.0,1.4,94.465,-41.8,4.865,5228.1,1000.0,2,1,55
cellular,111.0,-0.1,93.2,-42.0,4.021,5195.8,1000.0,4,1,51
cellular,388.0,1.4,93.444,-36.1,4.964,5228.1,1003.0,2,1,49
telephone,70.0,1.4,94.465,-41.8,4.866,5228.1,1000.0,3,1,49
cellular,466.0,-1.8,93.876,-40.0,0.684,5008.7,997.0,4,4,72
telephone,237.0,1.1,93.994,-36.4,4.86,5191.0,1001.0,4,1,34
telephone,369.0,1.1,93.994,-36.4,4.855,5191.0,1001.0,0,1,45
cellular,114.0,-1.8,92.893,-46.2,1.266,5099.1,1001.0,5,1,49
cellular,258.0,-1.1,94.601,-49.5,1.043,4963.6,997.0,2,5,71
telephone,577.0,1.4,94.465,-41.8,4.958,5228.1,1001.0,0,1,51
telephone,134.0,1.4,94.465,-41.8,4.959,5228.1,1001.0,0,1,35
cellular,68.0,1.4,93.444,-36.1,4.97,5228.1,1000.0,2,1,47
telephone,340.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,0,1,29
cellular,72.0,-1.8,92.893,-46.2,1.344,5099.1,1002.0,2,2,36
cellular,386.0,-1.7,94.215,-40.3,0.797,4991.6,1003.0,0,1,56
cellular,206.0,-1.8,92.893,-46.2,1.344,5099.1,1001.0,2,1,50
cellular,173.0,1.4,93.918,-42.7,4.962,5228.1,1005.0,2,1,66
cellular,198.0,-1.8,92.893,-46.2,1.327,5099.1,1001.0,2,1,58
cellular,644.5,-1.8,93.075,-47.1,1.41,5099.1,1000.0,0,1,54
cellular,16.0,1.4,93.444,-36.1,4.962,5228.1,1005.0,1,1,61
telephone,166.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,1,1,39
cellular,313.0,1.4,93.444,-36.1,4.965,5228.1,1003.0,0,1,64
telephone,20.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,4,1,49
telephone,62.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,1,1,64
cellular,74.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,0,1,40
telephone,54.0,1.1,93.994,-36.4,4.856,5191.0,1002.0,0,1,43
telephone,198.0,1.4,93.918,-42.7,4.962,5228.1,1004.0,4,1,32
telephone,362.0,1.4,94.465,-41.8,4.865,5228.1,1001.0,0,1,36
cellular,118.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,0,1,40
cellular,7.0,-1.8,92.893,-46.2,1.25,5099.1,1004.0,2,1,40
telephone,34.0,1.1,93.994,-36.4,4.864,5191.0,1001.0,3,1,42
cellular,134.0,-0.1,93.2,-42.0,4.191,5195.8,1001.0,0,1,59
telephone,143.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,4,1,40
cellular,320.0,1.4,93.444,-36.1,4.964,5228.1,1003.0,2,1,48
telephone,262.0,1.4,94.465,-41.8,4.962,5228.1,1005.0,1,1,54
cellular,261.0,-1.8,92.893,-46.2,1.299,5099.1,1001.0,4,1,35
cellular,7.0,-1.8,92.893,-46.2,1.299,5099.1,1005.0,2,2,54
cellular,220.0,-1.8,93.749,-34.6,0.643,5008.7,997.0,0,3,58
cellular,644.5,-1.8,93.075,-47.1,1.405,5099.1,1001.0,0,1,40
cellular,110.0,1.4,93.444,-36.1,4.968,5228.1,1000.0,0,1,44
cellular,211.0,-1.1,94.199,-37.5,0.886,4963.6,1001.0,2,1,48
telephone,79.0,-0.1,93.2,-42.0,4.153,5195.8,1003.0,2,1,42
cellular,53.0,1.4,93.918,-42.7,4.962,5228.1,1002.0,2,1,63
telephone,219.0,1.4,94.465,-41.8,4.961,5228.1,1001.0,2,1,44
cellular,173.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,2,1,52
cellular,63.0,-0.1,93.2,-42.0,4.021,5195.8,1001.0,2,1,40
telephone,644.5,1.4,94.465,-41.8,4.96,5228.1,1001.0,0,1,45
cellular,141.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,38
cellular,104.0,-1.8,93.075,-47.1,1.41,5099.1,1001.0,0,1,56
cellular,228.0,-0.1,93.2,-42.0,4.12,5195.8,1002.0,2,1,42
cellular,65.0,1.4,93.918,-42.7,4.957,5228.1,1000.0,2,1,34
cellular,74.0,-2.9,92.963,-40.8,1.26,5076.2,1000.0,4,1,32
cellular,163.0,-1.8,92.893,-46.2,1.313,5099.1,1001.0,2,1,49
cellular,153.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,2,1,61
cellular,96.0,-1.8,92.893,-46.2,1.291,5099.1,1005.0,0,1,43
cellular,14.0,-1.8,92.893,-46.2,1.25,5099.1,1003.0,2,1,33
cellular,128.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,5,1,40
cellular,33.0,1.4,93.918,-42.7,4.957,5228.1,1000.0,0,1,43
cellular,268.0,-1.7,94.215,-40.3,0.87,4991.6,1000.0,2,1,78
cellular,86.0,-1.8,92.843,-50.0,1.538,5099.1,1001.0,2,1,47
telephone,389.0,1.1,93.994,-36.4,4.855,5191.0,1001.0,2,1,40
cellular,58.0,-0.1,93.2,-42.0,4.021,5195.8,1001.0,2,1,51
cellular,341.0,-1.8,93.369,-34.8,0.635,5008.7,1001.0,0,1,68
cellular,304.0,-1.8,92.893,-46.2,1.266,5099.1,1000.0,0,1,35
telephone,100.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,2,1,41
cellular,315.0,-3.0,92.713,-33.0,0.706,5023.5,997.0,2,3,51
telephone,67.0,1.1,93.994,-36.4,4.858,5191.0,1000.0,4,1,42
telephone,289.0,1.1,93.994,-36.4,4.856,5191.0,1002.0,2,1,36
cellular,221.0,-0.1,93.2,-42.0,4.12,5195.8,1002.0,0,1,61
cellular,98.0,-3.4,92.649,-30.1,0.715,5017.5,997.0,2,2,40
cellular,459.0,-2.9,92.963,-40.8,1.215,5076.2,1001.0,0,1,46
telephone,154.0,1.1,93.994,-36.4,4.856,5191.0,1001.0,2,1,62
cellular,121.0,-1.8,92.893,-46.2,1.244,5099.1,1001.0,5,1,43
cellular,133.0,-1.8,92.893,-46.2,1.281,5099.1,1000.0,0,1,38
cellular,236.0,-1.8,92.893,-46.2,1.344,5099.1,1001.0,2,1,39
cellular,108.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,2,1,43
telephone,234.0,-1.8,92.893,-46.2,1.291,5099.1,1004.0,5,1,44
cellular,240.0,-0.1,93.2,-42.0,4.076,5195.8,1001.0,2,1,60
cellular,159.0,-2.9,92.963,-40.8,1.262,5076.2,1001.0,0,1,28
telephone,236.0,1.4,94.465,-41.8,4.864,5228.1,1001.0,0,1,45
telephone,72.0,-0.1,93.2,-42.0,4.076,5195.8,1002.0,2,1,34
telephone,210.0,-1.8,92.893,-46.2,1.291,5099.1,1002.0,1,1,50
cellular,644.5,1.4,93.444,-36.1,4.968,5228.1,1001.0,1,1,41
cellular,644.5,-1.8,92.893,-46.2,1.244,5099.1,1003.0,4,1,39
cellular,98.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,4,1,46
cellular,338.0,-1.8,92.893,-46.2,1.344,5099.1,1003.0,3,1,32
telephone,419.0,1.4,94.465,-41.8,4.866,5228.1,1000.0,1,1,49
cellular,57.0,-1.8,92.893,-46.2,1.291,5099.1,1001.0,2,1,33
cellular,101.0,1.4,93.444,-36.1,4.965,5228.1,1001.0,2,1,66
cellular,215.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,38
telephone,155.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,2,1,38
telephone,207.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,0,1,45
cellular,97.0,-1.8,92.893,-46.2,1.266,5099.1,1000.0,2,1,38
cellular,104.0,-1.8,92.893,-46.2,1.264,5099.1,1000.0,0,1,52
telephone,213.0,-1.8,92.893,-46.2,1.313,5099.1,1003.0,2,1,52
cellular,316.0,-1.8,93.075,-47.1,1.405,5099.1,1001.0,0,1,55
cellular,104.0,-1.8,92.893,-46.2,1.313,5099.1,1002.0,0,1,45
telephone,126.0,1.4,94.465,-41.8,4.959,5228.1,1004.0,0,1,56
cellular,153.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,3,1,47
cellular,90.0,1.4,93.444,-36.1,4.965,5228.1,1001.0,3,1,57
cellular,387.0,1.4,93.444,-36.1,4.963,5228.1,1004.0,2,1,37
telephone,171.0,-0.1,93.798,-40.4,4.921,5195.8,1000.0,0,1,54
cellular,334.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,57
cellular,202.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,34
cellular,298.0,-1.8,92.893,-46.2,1.299,5099.1,1003.0,0,2,38
cellular,171.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,3,1,61
cellular,132.0,-1.8,92.893,-46.2,1.25,5099.1,1005.0,0,1,46
cellular,436.0,1.4,93.444,-36.1,4.97,5228.1,1000.0,2,1,62
telephone,112.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,32
telephone,225.0,1.1,93.994,-36.4,4.856,5191.0,1001.0,0,1,46
cellular,19.0,-1.8,92.893,-46.2,1.313,5099.1,1005.0,5,1,50
cellular,41.0,-1.8,92.843,-50.0,1.757,5099.1,1001.0,0,1,36
telephone,66.0,1.1,93.994,-36.4,4.856,5191.0,1005.0,2,1,51
cellular,99.0,-1.8,92.893,-46.2,1.266,5099.1,1001.0,2,1,35
telephone,203.0,1.1,93.994,-36.4,4.864,5191.0,1001.0,3,1,43
cellular,158.0,-0.1,93.2,-42.0,4.191,5195.8,1001.0,2,1,69
cellular,160.0,1.4,93.918,-42.7,4.96,5228.1,1002.0,1,1,42
cellular,200.0,-1.7,94.215,-40.3,0.899,4991.6,1004.0,0,1,48
cellular,240.0,1.4,93.444,-36.1,4.965,5228.1,1004.0,1,1,45
telephone,149.0,-1.8,92.893,-46.2,1.334,5099.1,1003.0,0,1,41
telephone,293.0,1.4,93.918,-42.7,4.963,5228.1,1004.0,2,1,27
cellular,92.0,-1.8,92.893,-46.2,1.264,5099.1,1000.0,2,1,54
telephone,84.0,1.1,93.994,-36.4,4.855,5191.0,1001.0,2,1,47
cellular,77.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,0,1,49
cellular,168.0,1.4,93.918,-42.7,4.957,5228.1,1005.0,2,1,37
cellular,240.0,-1.7,94.215,-40.3,0.896,4991.6,1002.0,2,1,54
telephone,158.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,2,1,39
cellular,180.0,-1.8,93.075,-47.1,1.445,5099.1,1001.0,2,1,47
cellular,122.0,1.4,93.444,-36.1,4.963,5228.1,1001.0,2,1,39
telephone,644.5,-3.4,92.649,-30.1,0.714,5017.5,1000.0,4,1,72
telephone,23.0,1.4,94.465,-41.8,4.961,5228.1,1002.0,2,1,55
cellular,173.0,1.4,93.444,-36.1,4.964,5228.1,1002.0,0,1,44
telephone,398.0,1.4,94.465,-41.8,4.959,5228.1,1001.0,1,1,35
telephone,128.0,1.4,94.465,-41.8,4.958,5228.1,1001.0,0,1,52
cellular,102.0,1.4,93.444,-36.1,4.967,5228.1,1000.0,4,1,41
telephone,10.0,1.4,94.465,-41.8,4.958,5228.1,1000.0,1,1,49
cellular,237.0,1.4,93.918,-42.7,4.962,5228.1,1002.0,2,1,43
